Name;Sector;Lat;Long;CO-low(Gg/year);CO-high(Gg/year);CO-mean(Gg/year)
IGUAÇU -PR;Paper and cellulose;-24.509953;-49.952286;0.155078;0.310156;0.232617
IGUAÇU -SC;Paper and cellulose;-27.398392;-51.238227;0.155078;0.310156;0.232617
IGUAÇU -SC;Paper and cellulose;-27.168166;-50.797874;0.155078;0.310156;0.232617
NORSKE SKOG PISA -PR;Paper and cellulose;-24.282425;-49.736546;0.955944;1.911888;1.433916
STORA ENSO - SP;Paper and cellulose;-23.562232;-46.661033;0.453255;0.90651;0.6798825
VERACEL - BA;Paper and cellulose;-16.371053;-39.588851;3.025979;6.051958;4.5389685
ALTA MOGIANA;Bagasse TPP;-20.567944;-47.868641;NA;NA;NA
BARRALCOOL;Bagasse TPP;-15.033815;-57.214277;NA;NA;NA
BATATAIS;Bagasse TPP;-20.745982;-47.569336;NA;NA;NA
CAETÉ;Bagasse TPP;-9.776442;-36.086844;NA;NA;NA
COLOMBO ARIRANHA;Bagasse TPP;-21.213352;-48.842033;NA;NA;NA
CORONA;Bagasse TPP;-21.364469;-48.238975;NA;NA;NA
ESTER;Bagasse TPP;-22.657480;-47.211152;NA;NA;NA
CENTRAL ENERGÉTICA RIBEIRÃO PRETO (ANTIGA GALO BRAVO);Bagasse TPP;-21.141021;-47.878869;NA;NA;NA
GALVANI;Bagasse TPP;-22.758781;-47.155066;NA;NA;NA
IRACEMA;Bagasse TPP;-22.586025;-47.529168;NA;NA;NA
VIRGOLINO DE OLIVEIRA - ITAPIRA;Bagasse TPP;-22.411839;-46.808829;NA;NA;NA
JARDEST;Bagasse TPP;-21.032484;-47.775844;NA;NA;NA
JUNQUEIRA;Bagasse TPP;-20.048841;-47.748235;NA;NA;NA
MARACAÍ;Bagasse TPP;-22.575942;-50.656559;NA;NA;NA
MB;Bagasse TPP;-20.729511;-48.055077;NA;NA;NA
NARDINI;Bagasse TPP;-21.184680;-48.654292;NA;NA;NA
SANTA CRUZ AB (ANTIGA OMETTO);Bagasse TPP;-21.754836;-48.078402;NA;NA;NA
USINA DA PEDRA;Bagasse TPP;-21.241122;-47.566889;NA;NA;NA
RAFARD;Bagasse TPP;-23.009110;-47.532166;NA;NA;NA
UNIVALEM;Bagasse TPP;-23.009110;-47.532166;NA;NA;NA
PUMATY;Bagasse TPP;-8.627504;-35.528606;NA;NA;NA
VALE DO ROSÁRIO;Bagasse TPP;-20.740942;-48.055163;NA;NA;NA
VIRALCOOL;Bagasse TPP;-21.049411;-48.262212;NA;NA;NA
SÃO JOÃO;Bagasse TPP;-22.428728;-47.359755;NA;NA;NA
SÃO JOSÉ;Bagasse TPP;-22.491557;-48.782191;NA;NA;NA
SÃO JOSÉ;Bagasse TPP;-22.860862;-47.624307;NA;NA;NA
SÃO LUIZ;Bagasse TPP;-22.026160;-47.429182;NA;NA;NA
SÃO MARTINHO;Bagasse TPP;-21.320081;-48.120490;NA;NA;NA
BARRA GRANDE DE LENÇÓIS;Bagasse TPP;-22.627929;-48.752271;NA;NA;NA
LDC BIOENERGIA LEME (ANTIGA COINBRA - CRESCIUMAL);Bagasse TPP;-22.205258;-47.386937;NA;NA;NA
J PILON;Bagasse TPP;-23.171224;-47.746025;NA;NA;NA
SÃO FRANCISCO;Bagasse TPP;-21.108655;-48.078612;NA;NA;NA
LUCÉLIA;Bagasse TPP;-21.724491;-51.021143;NA;NA;NA
BORTOLO CAROLO;Bagasse TPP;-21.009087;-47.993845;NA;NA;NA
FURLAN;Bagasse TPP;-22.763612;-47.411725;NA;NA;NA
SANTA ADÉLIA;Bagasse TPP;-21.252346;-48.325677;NA;NA;NA
RUETTE;Bagasse TPP;-21.044503;-48.720099;NA;NA;NA
IPIRANGA FILIAL DESCALVADO;Bagasse TPP;-21.910594;-47.617150;NA;NA;NA
IPIRANGA - MOCOCA;Bagasse TPP;-21.467198;-47.002057;NA;NA;NA
SÃO MANOEL;Bagasse TPP;-22.742186;-48.570088;NA;NA;NA
ALBERTINA;Bagasse TPP;-21.147299;-47.989209;NA;NA;NA
SANTA ELISA - UNIDADE II;Bagasse TPP;-21.151098;-48.007881;NA;NA;NA
PAINEIRAS;Bagasse TPP;-21.011633;-40.830280;NA;NA;NA
SÃO JOÃO DA BOA VISTA;Bagasse TPP;-21.974787;-46.793732;NA;NA;NA
UNIALCO;Bagasse TPP;-21.264410;-50.636443;NA;NA;NA
SANTA CÂNDIDA;Bagasse TPP;-22.154430;-48.519573;NA;NA;NA
IBITIÚVA BIOENERGÉTICA (ANTIGA DESTILARIA ANDRADE);Bagasse TPP;-21.051442;-48.264082;NA;NA;NA
MANDU;Bagasse TPP;-20.324892;-48.283319;NA;NA;NA
GUARANI - CRUZ ALTA;Bagasse TPP;-20.744737;-48.909426;NA;NA;NA
SÃO JOSÉ DA ESTIVA;Bagasse TPP;-21.486870;-49.185911;NA;NA;NA
PANTANAL;Bagasse TPP;-15.934350;-54.962518;NA;NA;NA
JACIARA;Bagasse TPP;-15.976043;-54.950845;NA;NA;NA
BAZAN;Bagasse TPP;-21.007754;-48.035624;NA;NA;NA
SÃO DOMINGOS;Bagasse TPP;-21.102280;-48.926866;NA;NA;NA
MOEMA;Bagasse TPP;-20.254304;-49.292440;NA;NA;NA
DIANA;Bagasse TPP;-21.474105;-49.934966;NA;NA;NA
ÁGUA BONITA;Bagasse TPP;-22.736898;-50.580984;NA;NA;NA
DESTILARIA GUARICANGA;Bagasse TPP;-22.106087;-49.435508;NA;NA;NA
DESTILARIA MALOSSO;Bagasse TPP;-21.565808;-48.814681;NA;NA;NA
CORACI;Bagasse TPP;-22.739705;-49.732398;NA;NA;NA
TROMBINI;Bagasse TPP;-27.038020;-50.909358;NA;NA;NA
BENÁLCOOL;Bagasse TPP;-21.276938;-50.819852;NA;NA;NA
SANTA LÚCIA;Bagasse TPP;-22.394696;-47.389969;NA;NA;NA
ALCIDIA;Bagasse TPP;-22.538851;-52.190831;NA;NA;NA
BELLÃO & SCHIAVON;Bagasse TPP;-21.812253;-47.235488;NA;NA;NA
PARAÍSO;Bagasse TPP;-22.265142;-48.154094;NA;NA;NA
BELA VISTA;Bagasse TPP;-21.028625;-48.053734;NA;NA;NA
ITAIQUARA;Bagasse TPP;-21.455312;-46.750967;NA;NA;NA
ÁGUA LIMPA;Bagasse TPP;-20.780958;-49.728315;NA;NA;NA
SANTA ROSA;Bagasse TPP;-23.259627;-47.639170;NA;NA;NA
SANTA FÉ;Bagasse TPP;-21.768898;-48.557412;NA;NA;NA
LWARCEL;Bagasse TPP;-22.546772;-48.814894;NA;NA;NA
SANTO ANTÔNIO;Bagasse TPP;-22.659797;-47.643290;NA;NA;NA
FLORAPLAC;Bagasse TPP;-2.963406;-47.375360;NA;NA;NA
DELOS;Bagasse TPP;-21.161521;-47.988729;NA;NA;NA
DELLA COLETTA;Bagasse TPP;-22.081042;-48.719312;NA;NA;NA
BARRA;Bagasse TPP;-22.478612;-48.545333;NA;NA;NA
BRANCO PERES;Bagasse TPP;-21.688810;-51.046027;NA;NA;NA
PEDERNEIRAS;Bagasse TPP;-23.122203;-47.718601;NA;NA;NA
GASA;Bagasse TPP;-20.931918;-51.379115;NA;NA;NA
URBANO JARAGUÁ;Bagasse TPP;-26.508364;-49.109841;NA;NA;NA
COCAL;Bagasse TPP;-22.393625;-50.591643;NA;NA;NA
DULCINI;Bagasse TPP;-22.602154;-46.935960;NA;NA;NA
DACAL;Bagasse TPP;-21.787154;-50.810506;NA;NA;NA
GUARANI;Bagasse TPP;-20.821616;-48.821199;NA;NA;NA
URUBA;Bagasse TPP;-9.500704;-36.001414;NA;NA;NA
COOCAROL;Bagasse TPP;-23.404581;-52.752034;NA;NA;NA
CATANDUVA (ANTIGA CERRADINHO);Bagasse TPP;-21.135240;-48.976821;NA;NA;NA
BOM RETIRO;Bagasse TPP;-22.978864;-47.506309;NA;NA;NA
DESTIL;Bagasse TPP;-21.256114;-49.139955;NA;NA;NA
FANY;Bagasse TPP;-22.198420;-51.291532;NA;NA;NA
PIONEIROS;Bagasse TPP;-20.684541;-50.917174;NA;NA;NA
SOBAR;Bagasse TPP;-22.686864;-49.419153;NA;NA;NA
ALCOMIRA;Bagasse TPP;-21.121005;-51.090413;NA;NA;NA
LONDRA;Bagasse TPP;-23.410036;-49.105375;NA;NA;NA
DECASA;Bagasse TPP;-22.816385;-50.061069;NA;NA;NA
